country,region,subregion,pop2023,growthRate,area,landAreaKm,density,densityMi,Rank,happiness2021,happiness2020,scoreDifference,rank
Cambodia,Asia,South-Eastern Asia,16944826.00,0.01056,181035,176520,959938.00,2486239.00,73,4.83,4.848,-0.018,112
Mozambique,Africa,"Eastern Africa, Sub-Saharan Africa",33897354.00,0.02814,801590,786380,431056.00,1116434.00,48,4.794,4.624,0.17,113
Nigeria,Africa,"Western Africa, Sub-Saharan Africa",223804632.00,0.02408,923768,910770,2457312.00,6364439.00,6,4.759,4.724,0.035,114
Mali,Africa,"Western Africa, Sub-Saharan Africa",23293698.00,0.03099,1240192,1220190,190902.00,494437.00,58,4.723,4.729,-0.006,115
Iran,Asia,"Southern Asia, The Middle East",89172767.00,0.00703,1648195,1622500,549601.00,1423467.00,17,4.721,4.672,0.049,116
Uganda,Africa,"Eastern Africa, Sub-Saharan Africa",48582334.00,0.02821,241550,200520,2422817.00,6275097.00,30,4.636,4.432,0.204,117
Liberia,Africa,"Western Africa, Sub-Saharan Africa",5418377.00,0.02182,111369,96320,562539.00,1456976.00,120,4.625,4.558,0.067,118
Kenya,Africa,"Eastern Africa, Sub-Saharan Africa",55100586.00,0.01986,580367,569140,968138.00,2507477.00,26,4.607,4.583,0.024,119
Tunisia,Africa,Northern Africa,12458223.00,0.00826,163610,155360,801894.00,2076905.00,79,4.596,4.392,0.204,120
Lebanon,Asia,"Western Asia, The Middle East",5353930.00,-0.02474,10452,10230,5233558.00,13554916.00,122,4.584,4.772,-0.188,121
Namibia,Africa,"Southern Africa, Sub-Saharan Africa",2604172.00,0.01448,825615,823290,31631.00,81925.00,145,4.574,4.571,0.003,122
Myanmar,Asia,South-Eastern Asia,54577997.00,0.00736,676578,652670,836227.00,2165827.00,27,4.426,4.308,0.118,123
Jordan,Asia,"Western Asia, The Middle East",11337052.00,0.00454,89342,88794,1276781.00,3306864.00,83,4.395,4.633,-0.238,124
Chad,Africa,"Middle Africa, Sub-Saharan Africa",18278568.00,0.03133,1284000,1259200,14516.00,375965.00,67,4.355,4.423,-0.068,125
Sri Lanka,Asia,"Southern Asia, South Central Asia",21893579.00,0.00281,65610,61860,3539214.00,9166565.00,61,4.325,4.327,-0.002,126
Eswatini,Africa,"Southern Africa, Sub-Saharan Africa",1210822.00,0.00762,17364,17200,703966.00,1823273.00,159,4.308,4.308,0,127
Comoros,Africa,"Eastern Africa, Sub-Saharan Africa",852075.00,0.01829,1862,1861,4578587.00,1185854.00,163,4.289,4.289,0,128
Egypt,Africa,"Northern Africa, The Middle East",112716598.00,0.01556,1002450,995450,1132318.00,2932704.00,14,4.283,4.151,0.132,129
Ethiopia,Africa,"Eastern Africa, Sub-Saharan Africa",126527060.00,0.02551,1104300,1128571.3,1121126.00,2903716.00,11,4.275,4.186,0.089,130
Mauritania,Africa,"Western Africa, Sub-Saharan Africa",4862989.00,0.02678,1030700,1030700,47181.00,12.22,126,4.227,4.375,-0.148,131
